Sub Num,Sub Name,Sub ID,Latitude,Longitude,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar
68,WHITEVILLE_38075,68,35.26,-89.01,1,230,,,64.75,18.45
69,BROWNSVILLE_38012,69,35.59,-89.28,1,230,,,33.9,9.66
70,CORDOVA_38016,70,35.17,-89.77,2,500,,,197.85,56.39
71,COLLIERVILLE_38017,71,35.12,-89.57,1,230,,,166.18,47.36
72,DYERSBURG_38024,72,36.02,-89.37,1,230,,,87.93,25.06
73,MEMPHIS_38134,73,35.19,-89.85,1,230,,,173.84,49.55
74,MEMPHIS_38127,74,35.28,-89.99,1,230,,,146.93,41.87
75,MEMPHIS_38103,75,35.15,-90.02,1,230,,,168.55,48.04
76,MEMPHIS_38109,76,35.06,-90.14,1,230,,,147.63,42.08
77,MEMPHIS_38128,77,35.2,-89.93,1,230,,,177.72,50.65
78,MEMPHIS_38111,78,35.11,-89.94,2,500,,,191.23,54.5
79,MEMPHIS_38115,79,35.05,-89.86,1,230,,,167.84,47.83
80,MEMPHIS_38118,80,35.03,-89.97,1,230,,,163.74,46.67
81,GERMANTOWN_38138,81,35.06,-89.78,1,230,,,152.56,43.48
82,HUNTINGDON_38344,82,35.98,-88.57,1,230,,,83.51,23.8
83,PARIS_38242,83,36.32,-88.28,1,230,,,67.18,19.15
84,MARTIN_38237,84,36.36,-88.77,1,230,,,64.87,18.49
85,JACKSON_38305,85,35.66,-88.8,2,500,,,186.9,53.27
86,ADAMSVILLE_38310,86,35.25,-88.56,1,230,,,96.15,27.4
87,SAVANNAH_38372,87,35.23,-88,1,230,,,65.71,18.73
88,LAWRENCEBURG_38464,88,35.3,-87.31,1,230,,,179.49,51.15
89,COOKEVILLE_38501,89,36.14,-85.5,2,500,,,198.93,56.7
90,LIVINGSTON_38570,90,36.43,-85.13,1,230,,,65.65,18.71
91,Gallatin (TN),91,36.32,-86.4,5,500,1302.63,404.68,,
92,John Sevier,92,36.38,-82.96,5,500,827.8,249.7,,
93,Johnsonville,93,36.03,-87.99,7,500,3288.56,421.79,,
94,Kingston,94,35.91,-84.46,6,500,1899.06,448.42,,
95,Lagoon Creek,95,35.65,-89.4,7,500,1999.82,591.48,,
96,Pickwick Landing Dam,96,35.07,-88.25,3,500,184.73,45.45,,
97,Sequoyah,97,35.23,-85.09,7,500,3275.72,514.53,,
98,Tims Ford,98,35.2,-86.28,2,230,24.53,17.36,,
