Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Zone Name,Latitude,Longitude,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
32008920,Wind Ridge,32008920,NORTHWEST,N.KING,47.02,-120.19,1,230,,,19.31,-3.01,0,-48.13
32008950,Rock Creek,32008950,NORTHWEST,Lower Columbia Basin,45.91,-120.61,2,500,,,,,0,0
32008953,Three Pk,32008953,PACE,UT SW UT,37.96,-113.13,2,345,,,49.54,3.75,,-61.19
32008989,Ranch Vista,32008989,SOCALIF,SCE MAIN SYSTEM,34.11,-117.56,1,500,,,696.02,8.42,,
52000001,Macho Springs,20 mi. NE Deming,EL PASO,ZoneNW,32.44,-107.56,1,345,,,0,-0.1,,-57.88
52000004,Cedar Mountain,Found Mountain,ARIZONA,APS,35.34,-111.92,1,500,,,-99.36,-9.84,,
52000046,Dugas,Found road,ARIZONA,APS,34.38,-112.01,1,500,,,66.95,-26.45,,-171.49
52000083,Suncrest,Sub52000083,SANDIEGO,"SDG&E SWPL, BP-500",32.93,-116.52,4,500,,,450.9,-377.99,,
52000084,C94,No idea,SANDIEGO,"SDG&E SWPL, BP-500",32.84,-116.07,1,500,,,,,,
52000095,Top of the World,Found Wind Farm,PACE,WY CENT,42.92,-105.77,1,0.6,80,21.98,86.53,-14.53,,
52000096,Schnebly,Found Coulee,NORTHWEST,N.KING,46.94,-119.99,1,230,,,0.07,-0.68,,
52000097,Poison Spring,Found Road,NORTHWEST,N.KING,46.95,-120.23,1,230,,,,,,
52000098,Linden,No idea,NORTHWEST,Lower Columbia Basin,45.75,-120.61,3,230,0,0,0,-9.29,,
52000116,Juniper,No idea,NORTHWEST,Lower Columbia Basin,45.9,-120.27,2,230,0,0,-0.15,3.65,,
52000118,Central Ferry,Found Sub,NORTHWEST,Southeast Washington,46.6,-117.81,2,500,,,,,0,0
52000119,Phalen Gulcn,Found Sub,NORTHWEST,Southeast Washington,46.57,-117.83,2,230,0,0,0,-7.02,,
52000120,Dodge Junction,Found Junction Town,NORTHWEST,Southeast Washington,46.52,-117.82,2,230,0,0,0,-8.68,,
52000131,Knight,Found on WECC map,NORTHWEST,Portland Area,46.1,-120.86,3,500,,,,,,
52000141,Evergreen,No idea,NORTHWEST,PAC:WLMT,44.71,-122.65,1,13.8,10,0,8.15,0.8,,
52000149,Enid Rd.,Found Rd.,NORTHWEST,"Eugene, OR",44.12,-123.17,1,13.8,16,9,14.85,6.43,,
52000171,Norpac,No idea,NORTHWEST,"Cowlitz County, WA",46.16,-123.01,2,230,,,193.6,94.9,0,57.3
52000181,SAC,No idea,B.C.HYDRO,BC HYDRO,50.27,-122.28,1,360,,,0.15,0.05,,
52000263,Clover,No idea,PACE,UT EA UT,39.69,-112.06,1,345,,,56.33,-1.05,,-53.62
52000264,Limber,No idea,PACE,UT SA LA,40.2,-112.13,1,345,,,,,,-52.94
52000269,Utah/Nevada,No idea,PACE,UT SW UT,37.26,-114.07,1,345,,,,,,
52000373,Heartland,No idea,ALBERTA,AIES-Fort Saskatchewan 2000,54.06,-113.37,1,500,,,474.05,65.35,,
64000007,Miller,64000007,NORTHWEST,Lower Columbia Basin,45.89,-120.46,1,230,,,,,,
68050059,Willow,68050059,ARIZONA,TEP,32.3,-109.49,1,345,,,,,,
337405781,Ninetieth South,3337405781,PACE,UT SA LA,40.59,-111.92,1,345,,,591.91,-81.57,,
337405809,Aberdeen,3337405809,NORTHWEST,"Seattle Area, Olympic Peninsula",46.98,-123.85,3,230,0,0,92.13,152.41,,
337405851,Adair,3337405851,NORTHWEST,Portland Area,44.7,-123.22,1,115,5.6,0,115.18,-56.29,,
337405870,Addy,3337405870,NORTHWEST,"Spokane Area, N Idaho, W Montana",48.33,-117.83,2,230,,,98.64,19.48,0,0
337405875,Adelaide,3337405875,IDAHO,ZoneIP Southern,42.69,-113.67,1,345,,,169.6,4.53,,
337405876,Adelaide Tap,3337405876,IDAHO,ZoneIP Southern,42.71,-113.67,1,345,,,,,,
337405877,Adelanto,3337405877,LADWP,LA IPP,34.55,-117.44,4,500,0,0,0.62,0,,-177.85
337405901,AES Alamitos,3337405901,SOCALIF,SCE Los Angeles Basin 230kV,33.77,-118.1,4,20,123.06,104.97,600.59,265.08,,
337405912,AES Huntington Beach,3337405912,SOCALIF,SCE Orange County,33.65,-117.98,4,13.8,420,105.14,358.33,114.13,,
337405921,AES Redondo Beach,3337405921,SOCALIF,SCE Los Angeles Basin 230kV,33.85,-118.39,2,20,0,0,440.15,143.51,,
337405935,Afton Generating Station,3337405935,EL PASO,ZoneNW,32.11,-106.85,1,345,,,,,,
337406029,Albany,3337406029,NORTHWEST,Western Oregon,44.62,-123.13,1,230,,,160.59,144.69,,
337406039,Albeni Falls,3337406039,NORTHWEST,"Spokane Area, N Idaho, W Montana",48.18,-117,3,13.8,27.9,17.64,22.7,20.38,,
337406065,Alcoa,3337406065,NORTHWEST,Portland Area,45.65,-122.73,1,230,,,107.02,87.41,,
337406074,Alder,3337406074,NORTHWEST,Tacoma Power - General,46.8,-122.31,2,13.8,30,26,30.34,29.65,,
337406092,Alfalfa,3337406092,NORTHWEST,Lower Columbia Basin,46.3,-120.22,1,230,,,2.6,0.6,,
337406167,Allston,3337406167,NORTHWEST,Portland Area,46.11,-123.03,3,500,,,192.15,-30.05,,
337406231,Alvey,3337406231,NORTHWEST,Western Oregon,44,-123.01,3,500,,,275.15,-9.19,0,0
337406252,American Creek Capacitor Station,3337406252,B.C.HYDRO,BC HYDRO,49.44,-121.45,4,500,,,,,,
337406293,Amrad,3337406293,EL PASO,ZoneNW,32.52,-106.14,1,345,,,83.33,-4.84,0,-7.63
337406299,Anaconda Mill Creek,3337406299,NORTHWEST,Western Montana,46.11,-112.88,1,230,,,350.66,-73.89,,
337406372,Antelope Valley Solar Ranch,3337406372,SOCALIF,SCE MAIN SYSTEM,34.69,-118.3,3,500,,,613.91,348.35,0,0
337406388,Apache,3337406388,ARIZONA,AEP,32.06,-109.89,2,20,351.5,13.5,163.94,-11.63,,
337406394,Apex (MIR),3337406394,NEVADA,ZoneN1,36.42,-114.96,2,500,224,86.33,-319.72,-88.01,,
337406462,Arden,3337406462,NEVADA,ZoneN1,36.01,-115.21,1,21,109,57.8,64.63,122.98,,
337406484,Rattlesnake Road Wind Project,3337406484,NORTHWEST,Lower Columbia Basin,45.7,-120.25,1,0.6,0,0,2.42,19.34,0,0
337406487,Arlington Valley,3337406487,ARIZONA,SRP-TSW,33.34,-112.89,4,500,0,0,0,0,,
337406525,Arroyo,3337406525,EL PASO,ZoneNW,32.33,-106.71,2,345,,,210.82,40.92,,-53.63
337406532,Artesia,3337406532,EL PASO,ZoneE,32.85,-104.39,2,345,,,0,0,,
337406571,Ashe,3337406571,NORTHWEST,Lower Columbia Basin,46.48,-119.33,14,500,1151.2,-119.77,98.5,51.9,0,70.97
337406603,Ashton Creek,3337406603,B.C.HYDRO,BC HYDRO,50.55,-118.96,1,500,,,494.02,41.98,0,142.09
337406696,Ault,3337406696,WAPA R.M.,ZoneFH,40.6,-104.8,1,345,,,592.82,-182.95,,
337406763,B-A,3337406763,NEW MEXICO,ZonePN,35.35,-106.48,3,345,,,228.44,-27.1,,-70.69
337406992,Battle River,3337406992,ALBERTA,AIES-Alliance/Battle River,52.47,-112.14,1,21,376.1,-41.55,224.51,-41.18,,
337407067,Beacon (Spokane),3337407067,NORTHWEST,AVA: Spokane,47.68,-117.34,2,230,,,331.81,214.74,,
337407116,Beaver,3337407116,NORTHWEST,Portland General - Generation,46.16,-123.14,4,230,465,38.84,1.5,0.9,,
337407118,Beaver,3337407118,NORTHWEST,Western Montana,45.28,-123.82,1,500,,,,,,
337407126,Beaver Creek,3337407126,WAPA R.M.,ZoneEC,40.25,-103.6,1,345,,,149.02,-103.85,,
337407193,Bell,3337407193,NORTHWEST,"Spokane Area, N Idaho, W Montana",47.75,-117.37,8,500,,,196.14,-76.43,0,-86.94
337407237,Bellingham Division,3337407237,NORTHWEST,"Seattle Area, Olympic Peninsula",48.8,-122.42,1,230,,,150.79,6.58,,
337407277,Ben Lomond,3337407277,PACE,UT OGDEN,41.34,-112.05,1,345,,,569.08,44.91,0,214.12
337407282,Bend,3337407282,NORTHWEST,PAC:C.OR,44.07,-121.32,1,4.2,0.7,0,1,0.68,,
337407283,Benewah,3337407283,NORTHWEST,AVA: Palouse,47.35,-117.03,1,230,,,58.31,7.59,0,0
337407288,Hot Springs Windfarm,3337407288,IDAHO,ZoneIP Central,43.13,-115.69,1,18,0,0,71.93,30.07,,
337407300,Benton,3337407300,NORTHWEST,Lower Columbia Basin,46.46,-119.27,1,230,,,42.41,89.26,,
337407368,Bethel (PGE),3337407368,NORTHWEST,Portland General - BES S/S,44.97,-122.91,1,230,,,236.71,87.67,,
337407401,Bicknell,3337407401,ARIZONA,SWTC,31.92,-111.06,1,345,,,67.91,-0.76,,
337407419,Big Cliff,3337407419,NORTHWEST,Western Oregon,44.75,-122.28,1,14.4,0,0,,,,
337407423,Big Creek 1,3337407423,SOCALIF,SCE North of Magunden 230kV,37.2,-119.24,1,13.8,207,-20.11,167.67,15.59,,
337407430,Big Eddy,3337407430,NORTHWEST,Lower Columbia Basin,45.61,-121.11,10,500,,,46.78,-81.17,0,0
337407440,Big Horn Wind (PPM),3337407440,NORTHWEST,Lower Columbia Basin,45.83,-120.74,3,230,0,0,-6.37,-60.9,,
337407509,Biomass One L/P,3337407509,NORTHWEST,PAC:MDFD,42.41,-122.76,1,13.8,9.9,-4,18.33,12.84,,
337407604,Blackwater,3337407604,NEW MEXICO,ZoneSW,34.3,-103.17,1,345,0,-13.9,0,0,,
337407718,Blythe 2,3337407718,SOCALIF,MWD Colorado River Aqueduct,33.61,-114.68,1,16,180,36.82,0.95,18.19,,
337407727,Boardman (PGE),3337407727,NORTHWEST,Lower Columbia Basin,45.69,-119.81,5,500,612,-82.7,191.95,60.22,,
337407771,Bonanza,3337407771,PACE,UT DG&T,40.09,-109.29,2,345,485,-6.54,213.18,-9.63,,-47.49
337407786,Bonneville,3337407786,NORTHWEST,Portland Area,45.64,-121.94,15,230,1090.2,192.93,131.4,55.36,,
337407809,Borah,3337407809,PACE,ID NPC,42.7,-113.24,3,345,,,177.23,-35.53,0,-147.49
337407819,Bordertown,3337407819,SIERRA,SPP-TM Load,39.66,-120,2,345,,,,,,
337407825,Bothell,3337407825,NORTHWEST,Seattle City Light,47.86,-122.18,3,230,,,619.86,40.66,,
337407839,Boulder Park,3337407839,NORTHWEST,AVA: Spokane,47.7,-117.15,2,230,0,0,207.78,32.94,,
337407846,Boundary,3337407846,NORTHWEST,Seattle City Light,48.98,-117.36,14,230,567.35,81.09,-612.31,-91.27,,
337407863,Bowie Power Station,3337407863,ARIZONA,TEP,32.36,-109.49,3,345,0,0,,,,
337407876,Bowmont,3337407876,IDAHO,ZoneIP,43.44,-116.56,1,500,,,192.37,-76.44,0,-121.09
337407878,Box Canyon (PEND),3337407878,NORTHWEST,AVA: Pend Oreille PUD,48.78,-117.42,4,13.8,57.5,1.3,56.45,9.28,,
337407954,Brawley - SCE,3337407954,IMPERIALCA,Zone15,32.97,-115.53,1,13.8,25,4.38,8.92,8.69,,
337407956,Brazeau Hydro,3337407956,ALBERTA,AIES-Drayton Valley,52.91,-115.38,1,13.8,60,6.35,48.36,21.55,,
337407989,Bridge River Terminal,3337407989,B.C.HYDRO,BC HYDRO,50.72,-122.23,5,360,,,-237.47,98.77,,
337408132,Browning,3337408132,ARIZONA,SRP-TSW,33.36,-111.6,1,500,,,420.79,-14.15,,
337408135,Brownlee,3337408135,IDAHO,ZoneIP Western,44.84,-116.9,1,13.8,61.15,28.65,53.54,23.38,,
337408209,Buckley,3337408209,NORTHWEST,Lower Columbia Basin,45.23,-120.9,2,500,,,,,,
337408315,Burns,3337408315,NORTHWEST,Southern Oregon,43.68,-118.77,2,500,,,,,0,-375.35
337408422,Cabinet Gorge,3337408422,NORTHWEST,AVA: Coeur D'Alene,48.09,-116.06,3,230,185,18.06,33.19,-20.03,,
337408462,Calapooya,3337408462,NORTHWEST,PAC:JCTN,44.38,-123.01,1,230,,,13.3,4.64,,
337408489,Caliente,3337408489,EL PASO,ZoneNW,31.83,-106.25,2,345,,,287.97,44.28,,
337408507,Calpeak Vaca Dixon No. 1,3337408507,PG AND E,Intertie,38.4,-121.92,3,500,,,617.17,-348.81,,
337408525,Camas,3337408525,NORTHWEST,PAC:PTLD,45.58,-122.38,1,69,11,21,100.5,63.32,,
337408558,Camp Williams,3337408558,PACE,UT SA LA,40.47,-111.95,2,345,0,-25,59.32,-5.97,0,0
337408606,Canby 2,3337408606,NORTHWEST,Southern Oregon,41.44,-120.88,2,230,,,4.02,1.37,,
337408670,Cape Cockburn Cable Terminal,3337408670,B.C.HYDRO,BC HYDRO,49.67,-124.18,2,500,,,,,,
337408690,Captain Jack,3337408690,NORTHWEST,Southern Oregon,42.08,-121.39,9,500,,,,,0,-299.81
337408757,Carlton,3337408757,NORTHWEST,Portland Area,45.28,-123.15,1,230,,,196.07,31.47,,
337408764,Carmen Smith,3337408764,NORTHWEST,"Eugene, OR",44.34,-122,1,11.5,56.1,2.2,37.89,-0.3,,
337408830,Carver,3337408830,NORTHWEST,Portland General - BES S/S,45.4,-122.53,1,230,,,302.2,18.12,,
337408843,Cascade,3337408843,NORTHWEST,N.KING,37.53,-107.79,1,230,,,26.52,6.9,,
337408867,Castaic,3337408867,LADWP,LA BASIN,34.59,-118.66,6,18,174.16,9.23,379.38,259.16,,
337408945,Cedar Falls (SCL),3337408945,NORTHWEST,PSEOTHER,47.43,-121.78,1,6.6,4.87,-8,9.29,-6.59,,
337408977,Celilo Dc Converter Station,3337408977,NORTHWEST,Lower Columbia Basin,45.6,-121.11,4,500,,,,,1763.09,-131.27
337409045,Centralia,3337409045,NORTHWEST,"Seattle Area, Olympic Peninsula",46.73,-122.95,1,69,10,0,85.31,23.37,0,30.16
337409051,Centralia Switching Station,3337409051,NORTHWEST,"Seattle Area, Olympic Peninsula",46.73,-122.84,10,500,1424,277.78,80,56.87,,
337409113,Chandler,3337409113,NORTHWEST,Lower Columbia Basin,46.21,-119.77,1,115,7,0,117.33,-16.27,,
337409130,Chapmans Capacitor Station,3337409130,B.C.HYDRO,BC HYDRO,49.61,-121.37,2,500,,,,,,
337409143,Charles Lenzie,3337409143,NEVADA,ZoneN1,36.38,-114.92,5,500,218,210.87,-182.86,-94.38,,
337409200,Cheekye,3337409200,B.C.HYDRO,BC HYDRO,49.8,-123.1,1,500,,,,,0,-135.58
337409201,Chehalis,3337409201,NORTHWEST,"Seattle Area, Olympic Peninsula",46.62,-122.92,2,230,,,141.4,47.54,,
337409204,Chelan,3337409204,NORTHWEST,Central Washington,47.81,-119.99,1,11,60,25.37,60.31,19.58,,
337409209,Chemawa,3337409209,NORTHWEST,Portland Area,45.01,-123,1,230,,,162.27,-21,0,150.11
337409220,Chenoweth,3337409220,NORTHWEST,Lower Columbia Basin,45.64,-121.2,1,230,,,92.05,1.93,,
337409223,Cherokee (PSCO),3337409223,PSCOLORADO,ZoneRD,39.81,-104.97,1,22,360,164.92,405.1,132.66,,
337409315,Chief Joseph,3337409315,NORTHWEST,Central Washington,47.99,-119.65,26,500,2184.5,362.66,0.23,-47.16,,
337409332,Chiloquin,3337409332,NORTHWEST,PAC:KFAL,42.59,-121.84,2,230,,,21.17,-6.7,,
337409370,Cholla,3337409370,ARIZONA,APS,34.94,-110.3,9,500,999.9,79.14,33.43,69.53,,-130.03
337409381,Christopher,3337409381,NORTHWEST,S.KING,47.29,-122.24,1,230,,,,,,
337409518,Clark (NEVP),3337409518,NEVADA,ZoneN1,36.09,-115.05,3,13.8,0,0,49.19,97.93,,
337409539,Clatsop,3337409539,NORTHWEST,Portland Area,46.14,-123.84,1,230,,,82.22,28.73,,
337409552,Clayburn,3337409552,B.C.HYDRO,BC HYDRO,49.06,-122.24,1,500,,,482.27,103.9,,
337409579,Clearwater 2,3337409579,NORTHWEST,PAC:ROSE,43.25,-122.34,1,12,13,2.46,8.27,13.19,,
337409756,Cold Springs,3337409756,NORTHWEST,Portland General - Industrial,45.89,-119.23,1,230,,,8.42,7.26,,
337409867,Columbia,3337409867,NORTHWEST,Central Washington,47.29,-120.08,1,230,,,101.25,-11.08,,
337409874,Columbia Falls,3337409874,NORTHWEST,Western Montana,48.36,-114.14,2,230,,,70.57,3.29,,
337409906,Comanche,3337409906,PSCOLORADO,ZoneRS,38.27,-104.62,4,345,1505,247.53,531.35,186.66,0,0
337409919,Combine Hills Turbine Ranch,3337409919,NORTHWEST,Southeast Washington,45.93,-118.63,3,34.5,-0.1,0.2,12.72,2.55,0,0
337409954,Con Kelley,3337409954,NORTHWEST,Western Montana,48.39,-114.13,1,230,,,78,32.5,0,0
337409971,Condon Windpower LLC,3337409971,NORTHWEST,Lower Columbia Basin,45.28,-120.19,1,0.6,0,0,,,,
337410014,Contra Costa,3337410014,PG AND E,Generation (Fossil & Non-peaker,38.02,-121.76,4,18,387,64.09,201.78,110.74,,
337410062,Copco # 2,3337410062,NORTHWEST,PAC:YRKA,41.98,-122.36,1,6.6,0,0,2.79,18.74,,
337410112,Coronado,3337410112,ARIZONA,SRP-TSW,34.58,-109.28,4,500,840,-56.05,77,47.7,,-201.28
337410170,Cougar,3337410170,NORTHWEST,"Eugene, OR",44.13,-122.24,1,6.9,12.5,-0.51,21.86,0.19,,
337410194,Cove,3337410194,NORTHWEST,PAC:C.OR,42.53,-111.8,1,230,,,25.12,11.75,,
337410205,Covington,3337410205,NORTHWEST,"Seattle Area, Olympic Peninsula",47.35,-122.12,6,500,,,,,0,418.93
337410218,Cowlitz,3337410218,NORTHWEST,Tacoma Power - General,46.11,-122.94,1,230,,,265.76,7.02,,
337410221,Cowlitz Falls,3337410221,NORTHWEST,"Seattle Area, Olympic Peninsula",46.46,-122.1,1,230,39.8,16.11,,,,
337410230,Coyote Creek,3337410230,SIERRA,SPP-Carlin Trend,41.17,-116.35,1,345,,,124.03,44.38,,
337410234,Coyote Springs,3337410234,NORTHWEST,Portland General - BES S/S,45.85,-119.67,6,500,507.8,141.41,2.97,-16.01,,
337410259,Craig (TSGT),3337410259,WAPA R.M.,ZoneR4,40.47,-107.59,4,345,1335,-13.36,410.54,-115.91,,-52.02
337410269,Cranbrook,3337410269,B.C.HYDRO,BC HYDRO,49.5,-115.54,1,500,,,270.29,28.81,,-270.23
337410290,Creekside Cap. Stn.,3337410290,B.C.HYDRO,BC HYDRO,50.38,-122.63,2,500,,,,,,
337410309,Creston,3337410309,NORTHWEST,Seattle City Light,47.51,-122.27,1,230,,,70.83,10.55,,
337410341,Crockett Cogen,3337410341,PG AND E,Generation (QF Oil-recovery),38.05,-122.22,1,18,202,16.37,164.14,53.38,,
337410409,Crystal River,3337410409,LADWP,LA EASTERN-AC,36.42,-114.84,2,500,,,231.17,5.28,,-133.94
337410456,Currant Creek,3337410456,PACE,UT EA UT,39.82,-111.9,2,345,240,-30.43,-269.36,58.57,,
337410467,Cushman 1,3337410467,NORTHWEST,Tacoma Power - General,47.42,-123.22,2,13.2,40,9.26,30.81,15.56,,
337410468,Cushman 2,3337410468,NORTHWEST,Tacoma Power - General,47.37,-123.16,1,12.6,61,11.08,59.04,11.98,,
337410469,Cusick,3337410469,NORTHWEST,"Spokane Area, N Idaho, W Montana",48.33,-117.37,2,230,,,,,0,0
337410472,Custer,3337410472,NORTHWEST,"Seattle Area, Olympic Peninsula",48.9,-122.62,7,500,,,87.71,-24.56,0,0
337410535,Dalreed,3337410535,NORTHWEST,PAC:DALR,45.76,-120,3,230,,,5.41,1.91,,
337410554,Daniels Park,3337410554,PSCOLORADO,ZoneRS,39.49,-104.91,1,345,,,1004.54,288.86,0,0
337410647,De Moss,3337410647,NORTHWEST,Lower Columbia Basin,45.52,-120.69,1,0.6,0,0,,,,
337410784,Delridge,3337410784,NORTHWEST,Seattle City Light,47.55,-122.37,1,230,,,141.26,21.05,,
337410791,Delta Energy Center (CPN),3337410791,PG AND E,Generation (Fossil & Non-peaker,38.02,-121.85,4,24,835,94.85,428.77,126.83,,
337410804,Luna Energy Facility,3337410804,NEW MEXICO,ZonePN,32.3,-107.78,2,345,240,64.49,-278.74,-49.07,,
337410854,Desert Basin,3337410854,ARIZONA,SRP-TSW,32.89,-111.78,1,18,100,15.83,49.32,69.87,,
337410875,Detroit,3337410875,NORTHWEST,Western Oregon,44.72,-122.25,2,230,51.8,-13.34,,,,
337410879,Devers,3337410879,SOCALIF,SCE EASTERN 500/230kV,33.94,-116.58,3,500,0,-100,-97.77,-288.31,,-150.49
337410898,Dexter,3337410898,NORTHWEST,Western Oregon,43.92,-122.8,1,13.8,0,0,0,0,,
337410919,Diablo,3337410919,NORTHWEST,Seattle City Light,48.71,-121.13,4,345,155.04,10.06,213.53,53.36,,
337410921,Diablo Canyon,3337410921,PG AND E,Generation (Nuclear),35.22,-120.85,3,500,2399,1.92,100,51.23,,
337411001,Dixonville,3337411001,NORTHWEST,PAC:ROSE,43.21,-123.24,4,500,,,128.68,46.94,0,0
337411112,Douglas,3337411112,NORTHWEST,Central Washington,47.53,-120.29,1,230,,,59.99,6.39,,
337411162,Driscoll,3337411162,NORTHWEST,Portland Area,46.15,-123.41,2,230,,,,,,
337411184,Dry Gulch,3337411184,NORTHWEST,AVA: Lewiston/Clarkston,46.4,-117.21,1,230,,,61.38,8.34,0,0
337411257,Dunsmuir,3337411257,B.C.HYDRO,BC HYDRO,49.39,-124.63,1,500,,,1297.73,342.98,0,-552.84
337411301,Duwamish,3337411301,NORTHWEST,Seattle City Light,47.51,-122.31,2,230,,,195.52,29.13,,
337411304,Dworshak,3337411304,NORTHWEST,Southeast Washington,46.51,-116.3,5,500,316,-44.57,58.4,-2.55,0,-172.34
337411372,Eagle Point,3337411372,NORTHWEST,PAC:MDFD,42.55,-122.57,1,2.4,0,0,0,0,,
337411468,East Omak,3337411468,NORTHWEST,Central Washington,48.43,-119.5,1,230,,,115.53,3.05,,
337411487,East Shore,3337411487,PG AND E,Conf Load (Mission),37.63,-122.12,3,18,614,90.22,542.86,136.87,,
337411547,Eastpine,3337411547,NORTHWEST,Seattle City Light,47.61,-122.3,1,230,,,267.28,51.69,,
337411565,Echo Lake,3337411565,NORTHWEST,"Seattle Area, Olympic Peninsula",47.49,-121.87,3,500,,,,,0,750.75
337411677,El Segundo,3337411677,SOCALIF,SCE Los Angeles Basin 230kV,33.91,-118.42,4,18,380,139.96,509.73,137.7,,
337411689,Eldorado,3337411689,SOCALIF,SCE MAIN SYSTEM,39.94,-105.26,3,500,,,76.18,-37.62,,-229.24
337411699,Electron,3337411699,NORTHWEST,PIERCE,47.03,-122.22,1,2.3,0,0,0,0,,
337411728,Elk Hills Power Project,3337411728,PG AND E,Generation (Fossil & Non-peaker,35.28,-119.47,3,18,533.6,86.69,157.47,219.75,,
337411753,Ellerslie,3337411753,ALBERTA,AIES-Edmonton,53.43,-113.46,1,500,,,1267.61,-118.98,,
337411844,Encina,3337411844,SANDIEGO,SDG&E North Coast,33.14,-117.33,2,24,0,0,453.92,186.8,,
337411848,Encogen NW,3337411848,NORTHWEST,WHATCOM,48.75,-122.48,4,13.8,179.6,26.01,85.05,14.21,,
